tc,call_volume,aht,service_level,art
2022-12-04 12:00:00.000,81,149,80,30
2022-12-04 12:15:00.000,81,157,80,30
2022-12-04 12:30:00.000,81,156,80,30
2022-12-04 12:45:00.000,79,162,80,30
2022-12-04 13:00:00.000,77,175,80,30
2022-12-04 13:15:00.000,77,151,80,30
2022-12-04 13:30:00.000,72,155,80,30
2022-12-04 13:45:00.000,75,161,80,30
2022-12-04 14:00:00.000,71,129,80,30
2022-12-04 14:15:00.000,69,131,80,30
2022-12-04 14:30:00.000,71,137,80,30
2022-12-04 14:45:00.000,69,156,80,30
2022-12-04 15:00:00.000,67,155,80,30
2022-12-04 15:15:00.000,67,184,80,30
2022-12-04 15:30:00.000,61,150,80,30
2022-12-04 15:45:00.000,65,163,80,30
2022-12-04 16:00:00.000,58,141,80,30
2022-12-04 16:15:00.000,60,143,80,30
2022-12-04 16:30:00.000,61,156,80,30
2022-12-04 16:45:00.000,55,150,80,30
2022-12-04 17:00:00.000,57,147,80,30
2022-12-04 17:15:00.000,53,149,80,30
2022-12-04 17:30:00.000,54,145,80,30
2022-12-04 17:45:00.000,52,155,80,30
2022-12-04 18:00:00.000,49,155,80,30
2022-12-04 18:15:00.000,45,146,80,30
2022-12-04 18:30:00.000,46,154,80,30
2022-12-04 18:45:00.000,46,144,80,30
2022-12-04 19:00:00.000,41,141,80,30
2022-12-04 19:15:00.000,36,143,80,30
2022-12-04 19:30:00.000,37,162,80,30
2022-12-04 19:45:00.000,36,174,80,30
2022-12-04 20:00:00.000,34,150,80,30
2022-12-04 20:15:00.000,30,163,80,30
2022-12-04 20:30:00.000,30,142,80,30
2022-12-04 20:45:00.000,30,140,80,30
2022-12-04 21:00:00.000,28,166,80,30
2022-12-04 21:15:00.000,26,195,80,30
2022-12-04 21:30:00.000,20,206,80,30
2022-12-04 21:45:00.000,24,142,80,30
2022-12-04 22:00:00.000,20,181,80,30
2022-12-04 22:15:00.000,17,150,80,30
2022-12-04 22:30:00.000,14,199,80,30
2022-12-04 22:45:00.000,13,119,80,30
2022-12-04 23:00:00.000,11,126,80,30
2022-12-04 23:15:00.000,10,71,80,30
2022-12-04 23:30:00.000,8,93,80,30
2022-12-04 23:45:00.000,7,153,80,30
2022-12-05 00:00:00.000,7,150,80,30
2022-12-05 00:15:00.000,6,83,80,30
2022-12-05 00:30:00.000,6,256,80,30
2022-12-05 00:45:00.000,7,84,80,30
2022-12-05 01:00:00.000,6,147,80,30
2022-12-05 01:15:00.000,11,80,80,30
2022-12-05 01:30:00.000,13,168,80,30
2022-12-05 01:45:00.000,10,143,80,30
2022-12-05 02:00:00.000,14,128,80,30
2022-12-05 02:15:00.000,16,180,80,30
2022-12-05 02:30:00.000,22,124,80,30
2022-12-05 02:45:00.000,26,166,80,30
2022-12-05 03:00:00.000,39,209,80,30
2022-12-05 03:15:00.000,33,214,80,30
2022-12-05 03:30:00.000,33,159,80,30
2022-12-05 03:45:00.000,45,122,80,30
2022-12-05 04:00:00.000,47,153,80,30
2022-12-05 04:15:00.000,55,165,80,30
2022-12-05 04:30:00.000,57,157,80,30
2022-12-05 04:45:00.000,64,154,80,30
2022-12-05 05:00:00.000,77,159,80,30
2022-12-05 05:15:00.000,97,239,80,30
2022-12-05 05:30:00.000,102,242,80,30
2022-12-05 05:45:00.000,117,260,80,30
2022-12-05 06:00:00.000,118,163,80,30
2022-12-05 06:15:00.000,130,507,80,30
2022-12-05 06:30:00.000,137,217,80,30
2022-12-05 06:45:00.000,156,256,80,30
2022-12-05 07:00:00.000,166,376,80,30
2022-12-05 07:15:00.000,185,388,80,30
2022-12-05 07:30:00.000,218,310,80,30
2022-12-05 07:45:00.000,241,270,80,30
2022-12-05 08:00:00.000,264,366,80,30
2022-12-05 08:15:00.000,294,261,80,30
2022-12-05 08:30:00.000,335,359,80,30
2022-12-05 08:45:00.000,365,350,80,30
2022-12-05 09:00:00.000,419,446,80,30
2022-12-05 09:15:00.000,500,350,80,30
2022-12-05 09:30:00.000,566,435,80,30
2022-12-05 09:45:00.000,600,470,80,30
2022-12-05 10:00:00.000,619,471,80,30
2022-12-05 10:15:00.000,640,451,80,30
2022-12-05 10:30:00.000,650,432,80,30
2022-12-05 10:45:00.000,654,467,80,30
2022-12-05 11:00:00.000,667,504,80,30
2022-12-05 11:15:00.000,670,499,80,30
2022-12-05 11:30:00.000,655,474,80,30
2022-12-05 11:45:00.000,656,380,80,30
2022-12-05 12:00:00.000,655,439,80,30
2022-12-05 12:15:00.000,650,582,80,30
2022-12-05 12:30:00.000,657,470,80,30
2022-12-05 12:45:00.000,652,576,80,30
2022-12-05 13:00:00.000,641,454,80,30
2022-12-05 13:15:00.000,614,466,80,30
2022-12-05 13:30:00.000,613,420,80,30
2022-12-05 13:45:00.000,601,469,80,30
2022-12-05 14:00:00.000,603,471,80,30
2022-12-05 14:15:00.000,609,490,80,30
2022-12-05 14:30:00.000,621,431,80,30
2022-12-05 14:45:00.000,627,454,80,30
2022-12-05 15:00:00.000,612,471,80,30
2022-12-05 15:15:00.000,591,415,80,30
2022-12-05 15:30:00.000,575,558,80,30
2022-12-05 15:45:00.000,564,583,80,30
2022-12-05 16:00:00.000,532,504,80,30
2022-12-05 16:15:00.000,496,557,80,30
2022-12-05 16:30:00.000,473,455,80,30
2022-12-05 16:45:00.000,439,495,80,30
2022-12-05 17:00:00.000,397,584,80,30
2022-12-05 17:15:00.000,363,482,80,30
2022-12-05 17:30:00.000,334,369,80,30
2022-12-05 17:45:00.000,298,438,80,30
2022-12-05 18:00:00.000,273,369,80,30
2022-12-05 18:15:00.000,221,592,80,30
2022-12-05 18:30:00.000,186,291,80,30
2022-12-05 18:45:00.000,168,566,80,30
2022-12-05 19:00:00.000,152,657,80,30
2022-12-05 19:15:00.000,125,380,80,30
2022-12-05 19:30:00.000,113,504,80,30
2022-12-05 19:45:00.000,105,188,80,30
2022-12-05 20:00:00.000,95,175,80,30
2022-12-05 20:15:00.000,83,448,80,30
2022-12-05 20:30:00.000,86,166,80,30
2022-12-05 20:45:00.000,79,587,80,30
2022-12-05 21:00:00.000,69,170,80,30
2022-12-05 21:15:00.000,57,440,80,30
2022-12-05 21:30:00.000,55,157,80,30
2022-12-05 21:45:00.000,51,171,80,30
2022-12-05 22:00:00.000,49,170,80,30
2022-12-05 22:15:00.000,35,177,80,30
2022-12-05 22:30:00.000,32,193,80,30
2022-12-05 22:45:00.000,29,168,80,30
2022-12-05 23:00:00.000,26,196,80,30
2022-12-05 23:15:00.000,21,197,80,30
2022-12-05 23:30:00.000,20,211,80,30
2022-12-05 23:45:00.000,15,180,80,30
2022-12-06 00:00:00.000,14,176,80,30
2022-12-06 00:15:00.000,11,174,80,30
2022-12-06 00:30:00.000,11,163,80,30
2022-12-06 00:45:00.000,12,154,80,30
2022-12-06 01:00:00.000,10,153,80,30
2022-12-06 01:15:00.000,12,139,80,30
2022-12-06 01:30:00.000,12,185,80,30
2022-12-06 01:45:00.000,14,186,80,30
2022-12-06 02:00:00.000,16,160,80,30
2022-12-06 02:15:00.000,23,152,80,30
2022-12-06 02:30:00.000,26,252,80,30
2022-12-06 02:45:00.000,27,177,80,30
2022-12-06 03:00:00.000,32,296,80,30
2022-12-06 03:15:00.000,35,143,80,30
2022-12-06 03:30:00.000,43,165,80,30
2022-12-06 03:45:00.000,42,179,80,30
2022-12-06 04:00:00.000,53,345,80,30
2022-12-06 04:15:00.000,56,214,80,30
2022-12-06 04:30:00.000,60,161,80,30
2022-12-06 04:45:00.000,62,170,80,30
2022-12-06 05:00:00.000,73,163,80,30
2022-12-06 05:15:00.000,89,167,80,30
2022-12-06 05:30:00.000,100,293,80,30
2022-12-06 05:45:00.000,106,203,80,30
2022-12-06 06:00:00.000,118,521,80,30
2022-12-06 06:15:00.000,126,405,80,30
2022-12-06 06:30:00.000,149,268,80,30
2022-12-06 06:45:00.000,151,397,80,30
2022-12-06 07:00:00.000,185,515,80,30
2022-12-06 07:15:00.000,195,431,80,30
2022-12-06 07:30:00.000,223,171,80,30
2022-12-06 07:45:00.000,243,662,80,30
2022-12-06 08:00:00.000,277,319,80,30
2022-12-06 08:15:00.000,307,351,80,30
2022-12-06 08:30:00.000,353,412,80,30
2022-12-06 08:45:00.000,397,536,80,30
2022-12-06 09:00:00.000,458,403,80,30
2022-12-06 09:15:00.000,516,581,80,30
2022-12-06 09:30:00.000,604,544,80,30
2022-12-06 09:45:00.000,632,525,80,30
2022-12-06 10:00:00.000,653,527,80,30
2022-12-06 10:15:00.000,672,506,80,30
2022-12-06 10:30:00.000,679,510,80,30
2022-12-06 10:45:00.000,666,470,80,30
2022-12-06 11:00:00.000,657,460,80,30
2022-12-06 11:15:00.000,663,552,80,30
2022-12-06 11:30:00.000,654,499,80,30
2022-12-06 11:45:00.000,627,433,80,30
2022-12-06 12:00:00.000,618,632,80,30
2022-12-06 12:15:00.000,607,479,80,30
2022-12-06 12:30:00.000,605,609,80,30
2022-12-06 12:45:00.000,596,403,80,30
2022-12-06 13:00:00.000,582,447,80,30
2022-12-06 13:15:00.000,576,456,80,30
2022-12-06 13:30:00.000,577,429,80,30
2022-12-06 13:45:00.000,571,376,80,30
2022-12-06 14:00:00.000,582,424,80,30
2022-12-06 14:15:00.000,571,434,80,30
2022-12-06 14:30:00.000,554,381,80,30
2022-12-06 14:45:00.000,550,547,80,30
2022-12-06 15:00:00.000,530,447,80,30
2022-12-06 15:15:00.000,522,477,80,30
2022-12-06 15:30:00.000,511,518,80,30
2022-12-06 15:45:00.000,494,447,80,30
2022-12-06 16:00:00.000,461,438,80,30
2022-12-06 16:15:00.000,442,431,80,30
2022-12-06 16:30:00.000,435,501,80,30
2022-12-06 16:45:00.000,391,472,80,30
2022-12-06 17:00:00.000,370,383,80,30
2022-12-06 17:15:00.000,329,432,80,30
2022-12-06 17:30:00.000,298,489,80,30
2022-12-06 17:45:00.000,270,498,80,30
2022-12-06 18:00:00.000,231,501,80,30
2022-12-06 18:15:00.000,188,575,80,30
2022-12-06 18:30:00.000,173,414,80,30
2022-12-06 18:45:00.000,147,643,80,30
2022-12-06 19:00:00.000,136,330,80,30
2022-12-06 19:15:00.000,117,280,80,30
2022-12-06 19:30:00.000,104,323,80,30
2022-12-06 19:45:00.000,94,217,80,30
2022-12-06 20:00:00.000,91,248,80,30
2022-12-06 20:15:00.000,75,155,80,30
2022-12-06 20:30:00.000,71,166,80,30
2022-12-06 20:45:00.000,66,411,80,30
2022-12-06 21:00:00.000,62,160,80,30
2022-12-06 21:15:00.000,52,372,80,30
2022-12-06 21:30:00.000,43,175,80,30
2022-12-06 21:45:00.000,44,161,80,30
2022-12-06 22:00:00.000,37,180,80,30
2022-12-06 22:15:00.000,29,181,80,30
2022-12-06 22:30:00.000,30,170,80,30
2022-12-06 22:45:00.000,23,189,80,30
2022-12-06 23:00:00.000,22,204,80,30
2022-12-06 23:15:00.000,21,190,80,30
2022-12-06 23:30:00.000,15,191,80,30
2022-12-06 23:45:00.000,14,167,80,30
2022-12-07 00:00:00.000,13,186,80,30
2022-12-07 00:15:00.000,14,167,80,30
2022-12-07 00:30:00.000,11,122,80,30
2022-12-07 00:45:00.000,13,169,80,30
2022-12-07 01:00:00.000,11,135,80,30
2022-12-07 01:15:00.000,14,189,80,30
2022-12-07 01:30:00.000,12,149,80,30
2022-12-07 01:45:00.000,16,144,80,30
2022-12-07 02:00:00.000,14,344,80,30
2022-12-07 02:15:00.000,19,146,80,30
2022-12-07 02:30:00.000,25,196,80,30
2022-12-07 02:45:00.000,28,255,80,30
2022-12-07 03:00:00.000,34,252,80,30
2022-12-07 03:15:00.000,36,345,80,30
2022-12-07 03:30:00.000,37,158,80,30
2022-12-07 03:45:00.000,44,171,80,30
2022-12-07 04:00:00.000,48,159,80,30
2022-12-07 04:15:00.000,54,258,80,30
2022-12-07 04:30:00.000,58,404,80,30
2022-12-07 04:45:00.000,74,162,80,30
2022-12-07 05:00:00.000,71,457,80,30
2022-12-07 05:15:00.000,82,176,80,30
2022-12-07 05:30:00.000,90,282,80,30
2022-12-07 05:45:00.000,104,234,80,30
2022-12-07 06:00:00.000,118,270,80,30
2022-12-07 06:15:00.000,120,228,80,30
2022-12-07 06:30:00.000,137,162,80,30
2022-12-07 06:45:00.000,145,167,80,30
2022-12-07 07:00:00.000,161,496,80,30
2022-12-07 07:15:00.000,184,352,80,30
2022-12-07 07:30:00.000,195,346,80,30
2022-12-07 07:45:00.000,210,307,80,30
2022-12-07 08:00:00.000,245,427,80,30
2022-12-07 08:15:00.000,274,216,80,30
2022-12-07 08:30:00.000,317,216,80,30
2022-12-07 08:45:00.000,357,316,80,30
2022-12-07 09:00:00.000,410,460,80,30
2022-12-07 09:15:00.000,478,456,80,30
2022-12-07 09:30:00.000,553,428,80,30
2022-12-07 09:45:00.000,572,442,80,30
2022-12-07 10:00:00.000,596,470,80,30
2022-12-07 10:15:00.000,615,458,80,30
2022-12-07 10:30:00.000,640,446,80,30
2022-12-07 10:45:00.000,634,459,80,30
2022-12-07 11:00:00.000,639,486,80,30
2022-12-07 11:15:00.000,631,424,80,30
2022-12-07 11:30:00.000,623,515,80,30
2022-12-07 11:45:00.000,608,540,80,30
2022-12-07 12:00:00.000,606,445,80,30
2022-12-07 12:15:00.000,582,513,80,30
2022-12-07 12:30:00.000,558,456,80,30
2022-12-07 12:45:00.000,554,449,80,30
2022-12-07 13:00:00.000,552,413,80,30
2022-12-07 13:15:00.000,554,485,80,30
2022-12-07 13:30:00.000,551,472,80,30
2022-12-07 13:45:00.000,557,579,80,30
2022-12-07 14:00:00.000,549,548,80,30
2022-12-07 14:15:00.000,550,490,80,30
2022-12-07 14:30:00.000,554,526,80,30
2022-12-07 14:45:00.000,536,558,80,30
2022-12-07 15:00:00.000,530,466,80,30
2022-12-07 15:15:00.000,509,430,80,30
2022-12-07 15:30:00.000,515,470,80,30
2022-12-07 15:45:00.000,502,487,80,30
2022-12-07 16:00:00.000,476,380,80,30
2022-12-07 16:15:00.000,448,525,80,30
2022-12-07 16:30:00.000,420,430,80,30
2022-12-07 16:45:00.000,383,372,80,30
2022-12-07 17:00:00.000,356,518,80,30
2022-12-07 17:15:00.000,307,354,80,30
2022-12-07 17:30:00.000,287,554,80,30
2022-12-07 17:45:00.000,256,421,80,30
2022-12-07 18:00:00.000,235,376,80,30
2022-12-07 18:15:00.000,186,447,80,30
2022-12-07 18:30:00.000,169,286,80,30
2022-12-07 18:45:00.000,155,249,80,30
2022-12-07 19:00:00.000,144,281,80,30
2022-12-07 19:15:00.000,111,410,80,30
2022-12-07 19:30:00.000,105,357,80,30
2022-12-07 19:45:00.000,97,240,80,30
2022-12-07 20:00:00.000,85,319,80,30
2022-12-07 20:15:00.000,74,189,80,30
2022-12-07 20:30:00.000,66,179,80,30
2022-12-07 20:45:00.000,60,196,80,30
2022-12-07 21:00:00.000,57,435,80,30
2022-12-07 21:15:00.000,56,180,80,30
2022-12-07 21:30:00.000,48,381,80,30
2022-12-07 21:45:00.000,41,199,80,30
2022-12-07 22:00:00.000,38,188,80,30
2022-12-07 22:15:00.000,36,216,80,30
2022-12-07 22:30:00.000,32,190,80,30
2022-12-07 22:45:00.000,22,196,80,30
2022-12-07 23:00:00.000,23,152,80,30
2022-12-07 23:15:00.000,18,196,80,30
2022-12-07 23:30:00.000,15,185,80,30
2022-12-07 23:45:00.000,14,198,80,30
